pair,count
"('gansu', 'gow')",1
"('azula', 'ozai')",4
"('azulon', 'zuko')",1
"('azulon', 'ursa')",1
"('azulon', 'ozai')",1
"('old man', 'old woman')",1
"('lee', 'old man')",1
"('old man', 'zuko')",1
"('gow', 'old man')",1
"('lee', 'sela')",1
"('mai', 'sokka')",2
"('katara', 'mai')",2
"('iroh', 'toph')",5
"('sokka', 'zei')",7
"('aang', 'zei')",4
"('toph', 'zei')",3
"('katara', 'zei')",4
"('wan shi tong', 'zei')",2
"('aang', 'wan shi tong')",2
"('sokka', 'wan shi tong')",2
"('katara', 'wan shi tong')",2
"('iroh', 'mongke')",2
"('man', 'yu')",1
"('man', 'xin fu')",1
"('xin fu', 'yu')",6
"('fung', 'iroh')",5
"('fung', 'zuko')",4
"('man in the bar', 'xin fu')",1
"('xin fu', 'zuko')",1
"('iroh', 'xin fu')",1
"('fung', 'xin fu')",1
"('man in the bar', 'zuko')",1
"('iroh', 'man in the bar')",1
"('fung', 'man in the bar')",1
"('florist', 'iroh')",1
"('katara', 'sha-mo')",1
"('ghashiun', 'sha-mo')",2
"('florist', 'xin fu')",1
"('florist', 'yu')",2
"('ghashiun', 'toph')",2
"('aang', 'ghashiun')",2
"('sha-mo', 'toph')",1
"('aang', 'sha-mo')",1
"('aang', 'than')",2
"('katara', 'than')",3
"('toph', 'ying')",2
"('sokka', 'ying')",4
"('katara', 'ying')",4
"('than', 'ying')",2
"('than', 'toph')",1
"('sokka', 'than')",2
"('smellerbee', 'zuko')",1
"('jet', 'zuko')",4
"('iroh', 'smellerbee')",2
"('iroh', 'jet')",6
"('cabbage merchant', 'sokka')",1
"('cabbage merchant', 'ticket lady')",1
"('aang', 'cabbage merchant')",1
"('sokka', 'ticket lady')",2
"('aang', 'ticket lady')",3
"('ticket lady', 'toph')",1
"('aang', 'ying')",4
"('suki', 'ying')",1
"('suki', 'toph')",16
"('qin', 'ty lee')",2
"('azula', 'qin')",1
"('mai', 'qin')",1
"('earthbender guard', 'ying')",1
"('aang', 'earthbender guard')",1
"('general sung', 'toph')",3
"('general sung', 'sokka')",3
"('aang', 'general sung')",3
"('ticket woman', 'zuko')",1
"('iroh', 'ticket woman')",1
"('general sung', 'katara')",1
"('general sung', 'terra team member')",1
"('aang', 'terra team member')",1
"('terra team member', 'toph')",1
"('sokka', 'terra team member')",1
"('katara', 'terra team member')",1
"('iroh', 'tea seller')",1
"('jet', 'tea seller')",1
"('azula', 'second engineer')",1
"('sokka', 'ty lee')",3
"('aang', 'ty lee')",1
"('iroh', 'ying')",1
"('joo dee', 'sokka')",7
"('joo dee', 'katara')",3
"('aang', 'joo dee')",4
"('joo dee', 'toph')",2
"('pet store owner', 'sokka')",1
"('aang', 'pet store owner')",1
"('sokka', 'university student')",1
"('aang', 'pong')",1
"('pong', 'toph')",1
"('katara', 'pong')",1
"('pong', 'sokka')",1
"('customer', 'pao')",2
"('iroh', 'pao')",3
"('customer', 'iroh')",2
"('customer', 'jet')",2
"('katara', 'long feng')",6
"('older guest', 'younger guest')",1
"('aang', 'guest')",1
"('jet', 'pao')",1
"('long feng', 'sokka')",8
"('aang', 'long feng')",9
"('jet', 'toph')",6
"('long feng', 'toph')",2
"('jet', 'long feng')",3
"('dai li agent', 'jet')",1
"('joo dee replacement', 'katara')",1
"('girl with umbrella', 'toph')",1
"('third girl', 'toph')",1
"('star', 'toph')",1
"('katara', 'third girl')",1
"('star', 'third girl')",1
"('katara', 'star')",1
"('iroh', 'shop owner')",1
"(""boy's mother"", 'iroh')",1
"('huge round angry face', 'iroh')",2
"('iroh', 'tycho')",3
"('aang', 'kenji')",2
"('guard', 'kenji')",1
"('lady on stage', 'sokka')",1
"('ladies', 'sokka')",1
"('ladies', 'macmu-ling')",1
"('macmu-ling', 'sokka')",1
"('jin', 'zuko')",8
"('iroh', 'jin')",1
"('waiter', 'zuko')",1
"('jin', 'waiter')",1
"('ghashiun', 'sandbender #2')",1
"('ghashiun', 'sandbender #1')",1
"('sandbender #1', 'sandbender #2')",1
"('ghashiun', 'merchant #1')",1
"('merchant #1', 'merchant #2')",3
"('ghashiun', 'merchant #2')",2
"('merchant #1', 'trainer')",1
"('merchant #2', 'trainer')",1
"('shuzumu', 'trainer')",1
"('fire nation man', 'unnamed fire nation boy')",1
"('trainer', 'unnamed fire nation boy')",1
"('kyoshi warrior #1', 'suki')",2
"('azula', 'suki')",2
"('mai', 'suki')",2
"('suki', 'ty lee')",2
"('kyoshi warrior #2', 'mai')",1
"('pao', 'quon')",1
"('iroh', 'quon')",2
"('quon', 'zuko')",1
"('dai li agent', 'joo dee')",1
"('dai li agent', 'long feng')",1
"('joo dee', 'long feng')",1
"('aang', 'old sweepy')",1
"('old sweepy', 'toph')",1
"('jet', 'old sweepy')",1
"('old sweepy', 'sokka')",1
"('katara', 'old sweepy')",1
"('smellerbee', 'toph')",2
"('brainwasher', 'joo dees')",1
"('jet', 'joo dees')",1
"('brainwasher', 'jet')",1
"('longshot', 'smellerbee')",1
