book,pair,count,average_sentiment_between_characters
Earth,"('general how', 'sokka')",1,-0.1593446910381317
Earth,"('general how', 'katara')",2,-0.32830105125904085
Earth,"('soldier', 'toph')",1,1.1911680042743682
Earth,"('kuei', 'soldier')",1,1.1911680042743682
Earth,"('sokka', 'soldier')",1,1.1911680042743682
Earth,"('hakoda', 'sokka')",4,-0.3934817148372531
Earth,"('azula', 'kuei')",1,0.29382264614105225
Earth,"('aang', 'pathik')",12,0.02123763921360174
Earth,"('toph', 'yu')",3,-0.3622081345982022
Earth,"('bato', 'warrior')",1,0.025621388107538223
Earth,"('sokka', 'warrior')",1,0.025621388107538223
Earth,"('hakoda', 'warrior')",1,0.025621388107538223
Earth,"('bato', 'sokka')",1,0.025621388107538223
Earth,"('bato', 'hakoda')",1,0.025621388107538223
Earth,"('iroh', 'katara')",1,-0.34532320499420166
Earth,"('azula', 'katara')",1,1.4372123032808304
Earth,"('azula', 'long feng')",2,-0.1813977112372716
Earth,"('royal messenger', 'zuko')",1,0.003891080617904663
Earth,"('iroh', 'royal messenger')",1,0.003891080617904663
Earth,"('aang', 'iroh')",4,-0.21648586727678776
Earth,"('iroh', 'sokka')",3,-0.4702754368384679
Earth,"('captured agent', 'sokka')",1,-0.4305802583694458
Earth,"('head of the dai li', 'long feng')",1,0.5048412680625916
Earth,"('dai li agent', 'sokka')",1,-1.4892728626728058
Earth,"('dai li agent', 'how')",1,-1.4892728626728058
Earth,"('how', 'sokka')",1,-1.4892728626728058
Earth,"('kuei', 'ty lee')",1,0.2949921011924744
Fire,"('aang', 'toph')",71,-0.248681485609487
Fire,"('sokka', 'toph')",91,-0.14756598841958085
Fire,"('katara', 'toph')",69,-0.2739411619970925
Fire,"('aang', 'sokka')",104,-0.2662992414823577
Fire,"('aang', 'katara')",94,-0.1791064500589415
Fire,"('katara', 'sokka')",94,-0.19175905454870362
Fire,"('mai', 'zuko')",19,-0.012967623514589239
Fire,"('aang', 'hakoda')",7,-0.25388634006182353
Fire,"('hakoda', 'katara')",20,-0.06181090367691857
Fire,"('li', 'lo')",9,0.569992099469774
Fire,"('aang', 'pipsqueak')",1,-0.8920229941606521
Fire,"('hakoda', 'pipsqueak')",1,-0.8920229941606521
Fire,"('pipsqueak', 'sokka')",2,-0.6229491423815489
Fire,"('katara', 'pipsqueak')",1,-0.8920229941606521
Fire,"('hakoda', 'sokka')",19,0.13508630232852803
Fire,"('bato', 'fire navy officer')",1,-0.3162413239479065
Fire,"('fire navy officer', 'hakoda')",1,-0.3162413239479065
Fire,"('bato', 'hakoda')",5,-0.3629222462574641
Fire,"('fire navy officer', 'guard')",1,-1.1863678693771362
Fire,"('azula', 'zuko')",19,-0.11164364895799053
Fire,"('bato', 'katara')",2,-0.4924322764078776
Fire,"('ozai', 'zuko')",9,-0.047182038634949346
Fire,"('aang', 'roku')",13,0.3686989282186215
Fire,"('aang', 'fire nation man')",1,-0.8220334053039551
Fire,"('fire nation man', 'sokka')",1,-0.8220334053039551
Fire,"('aang', 'male soldier')",1,-0.5011056959629059
Fire,"('aang', 'kwan')",3,-0.44395150368412334
Fire,"('aang', 'on ji')",2,0.44228108908448904
Fire,"('hide', 'on ji')",2,0.44228108908448904
Fire,"('aang', 'hide')",2,0.44228108908448904
Fire,"('aang', 'shoji')",4,0.04998939614742995
Fire,"('aang', 'class')",1,-0.054586831480264664
Fire,"('class', 'kwan')",1,-0.054586831480264664
Fire,"('music teacher', 'shoji')",1,-0.7287046238780022
Fire,"('aang', 'music teacher')",1,-0.7287046238780022
Fire,"('aang', 'headmaster')",2,-0.21969319507479668
Fire,"('headmaster', 'katara')",1,0.6728338859975338
Fire,"('headmaster', 'sokka')",1,0.6728338859975338
Fire,"('azula', 'mai')",4,-0.22611437678597238
Fire,"('male student #2', 'shoji')",1,-0.006189409643411636
Fire,"('aang', 'male student #2')",1,-0.006189409643411636
Fire,"('male student #1', 'male student #2')",2,0.012234946712851524
Fire,"('male student #1', 'shoji')",1,-0.006189409643411636
Fire,"('aang', 'male student #1')",1,-0.006189409643411636
Fire,"('headmaster', 'hide')",1,1.4941538125276566
Fire,"('male soldier #1', 'shoji')",1,0.015822865068912506
Fire,"('aang', 'male soldier #1')",1,0.015822865068912506
Fire,"('headmaster', 'male soldier #1')",1,0.015822865068912506
Fire,"('headmaster', 'shoji')",1,0.015822865068912506
Fire,"('female student #1', 'on ji')",1,-0.4746275544166565
Fire,"('on ji', 'student')",1,-0.4746275544166565
Fire,"('female student #1', 'student')",1,-0.4746275544166565
Fire,"('dock', 'katara')",4,-0.5907605712476013
Fire,"('sokka', 'xu')",3,0.3116084232926369
Fire,"('aang', 'xu')",2,-0.7164821773767471
Fire,"('dock', 'sokka')",3,-0.45296938881114296
Fire,"('katara', 'little boy')",1,-1.496462658047676
Fire,"('katara', 'xu')",1,-0.5876159012317658
Fire,"('dock/xu', 'toph')",1,0.37534451484680176
Fire,"('dock/xu', 'sokka')",1,0.37534451484680176
Fire,"('aang', 'dock')",2,-0.6830432141547675
Fire,"('dock/xu', 'mung')",1,-1.4935753345489502
Fire,"('little boy', 'mung')",1,0.0010924190282821655
Fire,"('female fire nation soldier', 'male fire nation soldier')",2,-1.4161729216575623
Fire,"('dock', 'villager #1')",1,1.3936588615179062
Fire,"('dock', 'little boy')",2,1.069001242518425
Fire,"('dock', 'villager #2')",1,1.3936588615179062
Fire,"('little boy', 'villager #1')",1,1.3936588615179062
Fire,"('villager #1', 'villager #2')",1,1.3936588615179062
Fire,"('little boy', 'villager #2')",1,1.3936588615179062
Fire,"('villager #3', 'villager #4')",1,0.7443436235189438
Fire,"('little boy', 'villager #4')",1,0.7443436235189438
Fire,"('dock', 'villager #4')",1,0.7443436235189438
Fire,"('little boy', 'villager #3')",1,0.7443436235189438
Fire,"('dock', 'villager #3')",1,0.7443436235189438
Fire,"('dock', 'toph')",1,-0.3782345446256491
Fire,"('toph', 'weapons store shopkeeper')",1,0.7774641886353493
Fire,"('aang', 'weapons store shopkeeper')",1,0.7774641886353493
Fire,"('sokka', 'weapons store shopkeeper')",1,0.7774641886353493
Fire,"('katara', 'weapons store shopkeeper')",1,0.7774641886353493
Fire,"('fat', 'sokka')",1,-0.6044537723064423
Fire,"('piandao', 'sokka')",11,-0.2801001000223738
Fire,"('katara', 'piandao')",2,0.22034404098987578
Fire,"('ty lee', 'zuko')",6,0.042867923858086444
Fire,"('azula', 'ty lee')",6,0.355632429389739
Fire,"('li', 'zuko')",2,0.543690742126533
Fire,"('lo', 'zuko')",2,0.543690742126533
Fire,"('li', 'ty lee')",3,0.48840715434579623
Fire,"('mai', 'ty lee')",5,-0.11719410824754559
Fire,"('lo', 'ty lee')",3,0.48840715434579623
Fire,"('li', 'mai')",2,0.19823884032666683
Fire,"('lo', 'mai')",2,0.19823884032666683
Fire,"('fire nation watchman #1', 'fire nation watchman #2')",1,0.7306536957621574
Fire,"('aang', 'fire nation watchman #2')",1,0.7306536957621574
Fire,"('aang', 'fire nation watchman #1')",1,0.7306536957621574
Fire,"('ember island teenager #1', 'ty lee')",3,-0.053776222352798185
Fire,"('ember island teenager #1', 'ember island teenager #2')",3,0.11084576161243975
Fire,"('ember island teenager #2', 'ty lee')",2,-0.08447063399048954
Fire,"('chan', 'ty lee')",1,0.6434039558683123
Fire,"('azula', 'chan')",6,0.6620920451269263
Fire,"('chan', 'ruon-jian')",2,0.033273288891429
Fire,"('ruon-jian', 'ty lee')",1,0.6434039558683123
Fire,"('azula', 'ruon-jian')",1,0.6434039558683123
Fire,"('azula', 'li')",3,-0.008204769047479762
Fire,"('azula', 'lo')",3,-0.008204769047479762
Fire,"('ruon-jian', 'zuko')",3,-0.1119359475043085
Fire,"('mai', 'ruon-jian')",2,0.08539778863390285
Fire,"('ember island teenager #1', 'ember island teenager #3')",2,0.5366180607905755
Fire,"('ember island teenager #2', 'ember island teenager #3')",2,0.5366180607905755
Fire,"('azula', 'ember island teenager #1')",1,0.5717575687628526
Fire,"('azula', 'ember island teenager #3')",1,0.5717575687628526
Fire,"('azula', 'ember island teenager #2')",1,0.5717575687628526
