character,dialogue_count,scene_count,episode_count,arc_presence,positive_proportion,negative_proportion,neutral_proportion
younger guest,16,1,1,Earth,0.0,1.0,0.0
guest,12,2,1,Earth,0.16666666666666666,0.8333333333333334,0.0
dai li agent,48,9,3,Earth,0.7083333333333334,0.2916666666666667,0.0
joo dee replacement,19,2,1,Earth,1.0,0.0,0.0
girl with umbrella,6,1,1,Earth,0.5,0.5,0.0
star,17,1,1,Earth,1.0,0.0,0.0
third girl,3,1,1,Earth,1.0,0.0,0.0
shop owner,42,2,2,"Earth, Fire",0.5476190476190477,0.4523809523809524,0.0
boy's mother,4,1,1,Earth,1.0,0.0,0.0
huge round angry face,16,2,1,Earth,1.0,0.0,0.0
tycho,49,4,1,Earth,0.22448979591836735,0.7755102040816326,0.0
kenji,94,4,1,Earth,0.48936170212765956,0.5106382978723404,0.0
guard #2,3,1,1,Earth,1.0,0.0,0.0
young guest,9,1,1,Earth,0.0,1.0,0.0
adult guest,7,1,1,Earth,0.0,1.0,0.0
lady on stage,15,1,1,Earth,1.0,0.0,0.0
macmu-ling,50,1,1,Earth,0.44,0.56,0.0
ladies,3,1,1,Earth,1.0,0.0,0.0
jin,200,10,1,Earth,0.815,0.185,0.0
waiter,11,1,1,Earth,0.0,1.0,0.0
sandbender #1,13,1,1,Earth,0.0,1.0,0.0
sandbender #2,14,1,1,Earth,0.0,1.0,0.0
merchant #1,26,3,1,Earth,0.23076923076923078,0.7692307692307693,0.0
merchant #2,32,4,1,Earth,0.0,1.0,0.0
trainer,140,6,1,Earth,0.15714285714285714,0.8428571428571429,0.0
unnamed fire nation boy,15,3,1,Earth,0.6,0.4,0.0
iio,10,1,1,Earth,1.0,0.0,0.0
kyoshi warrior #1,23,2,1,Earth,0.0,1.0,0.0
kyoshi warrior #2,1,1,1,Earth,0.0,1.0,0.0
pathik,1034,22,4,"Earth, Fire",0.6779497098646035,0.32205029013539654,0.0
quon,89,2,1,Earth,1.0,0.0,0.0
old sweepy,78,1,1,Earth,0.6666666666666666,0.3333333333333333,0.0
brainwasher,18,1,1,Earth,1.0,0.0,0.0
joo dees,18,1,1,Earth,1.0,0.0,0.0
longshot,13,1,1,Earth,1.0,0.0,0.0
palace woman,1,1,1,Earth,0.0,1.0,0.0
kuei,527,21,3,Earth,0.523719165085389,0.476280834914611,0.0
blue dragon,37,3,1,Earth,0.4594594594594595,0.5405405405405406,0.0
red dragon,24,1,1,Earth,0.0,1.0,0.0
general how,105,4,2,Earth,0.6761904761904762,0.3238095238095238,0.0
agent,25,1,1,Earth,1.0,0.0,0.0
water tribe warrior,5,1,1,Earth,1.0,0.0,0.0
warrior,9,1,1,Earth,1.0,0.0,0.0
royal messenger,6,1,1,Earth,1.0,0.0,0.0
captured agent,28,1,1,Earth,0.4642857142857143,0.5357142857142857,0.0
head of the dai li,36,1,1,Earth,0.5833333333333334,0.4166666666666667,0.0
how,4,1,1,Earth,0.0,1.0,0.0
fire navy officer,99,2,1,Fire,0.2222222222222222,0.7777777777777778,0.0
male soldier,28,1,1,Fire,0.17857142857142858,0.8214285714285714,0.0
kwan,125,4,1,Fire,0.4,0.6,0.0
on ji,44,4,1,Fire,0.6818181818181818,0.3181818181818182,0.0
hide,55,3,1,Fire,0.6727272727272727,0.32727272727272727,0.0
shoji,51,4,1,Fire,0.2549019607843137,0.7450980392156863,0.0
class,41,1,1,Fire,1.0,0.0,0.0
music teacher,66,1,1,Fire,0.5151515151515151,0.48484848484848486,0.0
headmaster,150,6,1,Fire,0.5,0.5,0.0
male student #1,28,3,1,Fire,0.4642857142857143,0.5357142857142857,0.0
male soldier #1,1,1,1,Fire,1.0,0.0,0.0
female student #1,7,2,1,Fire,0.0,1.0,0.0
student,2,1,1,Fire,1.0,0.0,0.0
dock,205,7,1,Fire,0.6097560975609756,0.3902439024390244,0.0
xu,184,4,1,Fire,0.44021739130434784,0.5597826086956522,0.0
little boy,28,5,1,Fire,0.8214285714285714,0.17857142857142858,0.0
dock/xu,33,2,1,Fire,0.30303030303030304,0.696969696969697,0.0
mung,90,4,1,Fire,0.15555555555555556,0.8444444444444444,0.0
female fire nation soldier,14,3,2,Fire,0.0,1.0,0.0
male fire nation soldier,17,3,2,Fire,0.0,1.0,0.0
villager #1,2,1,1,Fire,1.0,0.0,0.0
villager #4,8,1,1,Fire,0.0,1.0,0.0
painted lady,2,1,1,Fire,1.0,0.0,0.0
warden poon,118,6,3,Fire,0.3305084745762712,0.6694915254237288,0.0
weapons store shopkeeper,31,1,1,Fire,1.0,0.0,0.0
fat,43,3,1,Fire,0.4186046511627907,0.5813953488372093,0.0
piandao,674,33,2,Fire,0.6943620178041543,0.3056379821958457,0.0
fire nation watchman #1,29,1,1,Fire,0.4482758620689655,0.5517241379310345,0.0
fire nation watchman #2,8,1,1,Fire,1.0,0.0,0.0
ember island teenager #1,17,4,1,Fire,0.35294117647058826,0.6470588235294118,0.0
ember island teenager #2,21,3,1,Fire,0.38095238095238093,0.6190476190476191,0.0
chan,133,8,1,Fire,0.518796992481203,0.48120300751879697,0.0
ruon-jian,26,4,1,Fire,0.8461538461538461,0.15384615384615385,0.0
ember island teenager #3,22,2,1,Fire,1.0,0.0,0.0
sozin,455,19,1,Fire,0.6307692307692307,0.36923076923076925,0.0
ta min,6,1,1,Fire,1.0,0.0,0.0
dealer,68,3,1,Fire,0.8088235294117647,0.19117647058823528,0.0
town authority,32,2,1,Fire,1.0,0.0,0.0
